# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTime90PNs,1773245570114000000,1773245630029000000,0
FlushQueue.queueSizeMax,1773245570114000000,1773245630029000000,0
NonBlockingReadAction.finalizedExecutionsCount,1773245570114000000,1773245630029000000,37
ReadAction.executionsCount,1773245570114000000,1773245630029000000,25739
FlushQueue.waitingTimeAvgNs,1773245570114000000,1773245630029000000,0.0
FlushQueue.executionTimeAvgNs,1773245570114000000,1773245630029000000,0.0
AWTEventQueue.dispatchTime90PNs,1773245570114000000,1773245630029000000,0
FlushQueue.executionTimeMaxNs,1773245570114000000,1773245630029000000,0
AWTEventQueue.eventsDispatched,1773245570114000000,1773245630029000000,0
DirectByteBufferAllocator.hits,1773245570114000000,1773245630029000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalPagesReclaimed,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalPagesReadMs,1773245570114000000,1773245630029000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773245570114000000,1773245630029000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalPagesHandedOver,1773245570114000000,1773245630029000000,0
MappedFileStorage.storages,1773245570114000000,1773245630029000000,16
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1773245570114000000,1773245630029000000,246431744
FilePageCache.totalPageDisposalsUs,1773245570114000000,1773245630029000000,15
FilePageCache.pageFastCacheHits,1773245570114000000,1773245630029000000,657
FilePageCacheLockFree.nativeBytesInUse,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalBytesRead,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1773245570114000000,1773245630029000000,0
FilePageCache.disposedBuffers,1773245570114000000,1773245630029000000,0
StreamlinedBlobStorage.recordsRelocated,1773245570114000000,1773245630029000000,0
FilePageCacheLockFree.heapBytesInUse,1773245570114000000,1773245630029000000,0
StorageLockContext.competingThreads.avg,1773245570114000000,1773245630029000000,0.0
FilePageCache.totalPageLoadsUs,1773245570114000000,1773245630029000000,8101
